px_true,py_true,vx_true,vy_true,yaw_true,px_estimate,py_estimate,vx_estimate,vy_estimate,yaw_estimate,Sensor Type,NIS
-21.6026,7.9807,4.1868,2.7653,0.5837,-21.6426,7.8976,4.1782,2.6046,0.5574,L,0.1060
-21.3920,8.1170,4.2417,2.6897,0.5651,-21.4501,8.0357,4.1890,2.5694,0.5502,R,1.4704
-21.1787,8.2496,4.2945,2.6142,0.5468,-21.2169,8.0833,4.2860,2.3223,0.4966,L,4.5825
-20.9628,8.3783,4.3453,2.5387,0.5288,-21.0243,8.2481,4.2089,2.4571,0.5284,R,5.7735
-20.7444,8.5033,4.3941,2.4634,0.5110,-20.8472,8.4034,4.1921,2.4784,0.5339,L,2.8367
-20.5237,8.6246,4.4409,2.3883,0.4934,-20.6067,8.5045,4.3292,2.2772,0.4842,R,4.8456
-20.3006,8.7421,4.4858,2.3136,0.4762,-20.3640,8.6340,4.3976,2.2172,0.4670,L,1.4065
-20.0753,8.8558,4.5288,2.2392,0.4592,-20.1629,8.7722,4.3527,2.2859,0.4836,R,1.3108
-19.8480,8.9659,4.5700,2.1652,0.4425,-19.9616,8.8803,4.3648,2.2247,0.4714,L,0.5459
-19.6186,9.0723,4.6094,2.0918,0.4260,-19.7578,9.0084,4.3324,2.2678,0.4822,R,0.8749
-19.3873,9.1750,4.6469,2.0189,0.4099,-19.5338,9.0837,4.3755,2.1443,0.4557,L,0.9161
-19.1542,9.2741,4.6828,1.9467,0.3940,-19.2945,9.1852,4.4559,2.0237,0.4263,R,4.5908
-18.9193,9.3696,4.7169,1.8751,0.3784,-19.0162,9.2651,4.5535,1.8903,0.3935,L,6.1922
-18.6827,9.4615,4.7494,1.8043,0.3631,-18.7959,9.3509,4.5860,1.7878,0.3717,R,1.7087
-18.4446,9.5500,4.7803,1.7343,0.3480,-18.5458,9.4470,4.6370,1.7196,0.3551,L,0.7964
-18.2049,9.6349,4.8096,1.6651,0.3333,-18.2818,9.4683,4.7625,1.3693,0.2800,R,5.9644
-17.9639,9.7164,4.8374,1.5969,0.3189,-18.0027,9.5840,4.8370,1.3446,0.2711,L,3.9377
-17.7214,9.7946,4.8637,1.5296,0.3047,-17.7601,9.6742,4.8279,1.3799,0.2784,R,3.0257
-17.4777,9.8694,4.8886,1.4634,0.2909,-17.4916,9.7788,4.8786,1.3642,0.2727,L,1.7877
-17.2328,9.9409,4.9120,1.3982,0.2773,-17.2469,9.8498,4.9067,1.2786,0.2549,R,0.5114
-16.9868,10.0091,4.9342,1.3341,0.2641,-16.9809,9.9725,4.9456,1.3219,0.2612,L,2.2612
-16.7396,10.0743,4.9551,1.2711,0.2511,-16.7293,10.0334,4.9741,1.2262,0.2417,R,0.1306
-16.4915,10.1362,4.9747,1.2094,0.2385,-16.4809,10.1464,4.9885,1.2668,0.2487,L,1.6185
-16.2424,10.1952,4.9931,1.1488,0.2261,-16.2280,10.2074,5.0212,1.1616,0.2273,R,0.6638
-15.9924,10.2511,5.0104,1.0896,0.2141,-15.9828,10.2431,5.0330,1.0394,0.2037,L,0.2368
-15.7416,10.3041,5.0266,1.0316,0.2024,-15.7355,10.3087,5.0319,1.0310,0.2021,R,0.2485
-15.4899,10.3543,5.0417,0.9750,0.1910,-15.5005,10.3143,5.0283,0.8651,0.1704,L,1.1905
-15.2376,10.4016,5.0558,0.9197,0.1799,-15.2164,10.3220,5.1042,0.5855,0.1142,R,8.0010
-14.9846,10.4462,5.0689,0.8658,0.1692,-14.9541,10.3802,5.1270,0.5495,0.1068,L,0.5240
-14.7309,10.4882,5.0811,0.8134,0.1587,-14.7050,10.4252,5.0940,0.6413,0.1252,R,6.5935
-14.4766,10.5276,5.0924,0.7624,0.1486,-14.4518,10.3979,5.0950,0.4361,0.0854,L,1.9052
-14.2218,10.5645,5.1029,0.7129,0.1388,-14.1916,10.4247,5.1032,0.3914,0.0765,R,0.6519
-13.9665,10.5989,5.1126,0.6649,0.1293,-13.9000,10.5725,5.1583,0.6134,0.1184,L,8.6215
-13.7107,10.6310,5.1216,0.6185,0.1202,-13.6419,10.6403,5.1395,0.7479,0.1445,R,1.6481
-13.4545,10.6608,5.1298,0.5736,0.1114,-13.3851,10.6468,5.1448,0.6437,0.1245,L,0.5677
-13.1979,10.6884,5.1374,0.5303,0.1029,-13.1224,10.6690,5.1630,0.5492,0.1060,R,0.3764
-12.9409,10.7138,5.1444,0.4886,0.0947,-12.8676,10.7684,5.1661,0.6694,0.1289,L,3.7605
-12.6836,10.7373,5.1507,0.4485,0.0868,-12.6035,10.8178,5.1744,0.6815,0.1310,R,1.3026
-12.4260,10.7587,5.1565,0.4100,0.0793,-12.3573,10.7930,5.1639,0.5230,0.1009,L,1.9938
-12.1681,10.7783,5.1618,0.3732,0.0722,-12.0974,10.8330,5.1623,0.5557,0.1072,R,0.3654
-11.9100,10.7961,5.1666,0.3380,0.0653,-11.8490,10.9008,5.1566,0.6165,0.1190,L,1.7335
-11.6516,10.8121,5.1709,0.3045,0.0588,-11.5743,10.9172,5.1827,0.5322,0.1023,R,2.8791
-11.3930,10.8265,5.1748,0.2728,0.0527,-11.3368,10.9378,5.1626,0.4931,0.0952,L,0.7311
-11.1342,10.8394,5.1784,0.2427,0.0468,-11.0734,10.8605,5.1907,-0.0354,-0.0068,R,9.8294
-10.8753,10.8509,5.1815,0.2143,0.0413,-10.7871,10.8256,5.2079,-0.2001,-0.0384,L,2.8756
-10.6161,10.8609,5.1844,0.1877,0.0362,-10.5318,10.8228,5.1997,-0.2499,-0.0480,R,0.2281
-10.3569,10.8697,5.1869,0.1628,0.0314,-10.2920,10.8174,5.1769,-0.3177,-0.0613,L,0.9407
-10.0976,10.8772,5.1891,0.1396,0.0269,-10.0361,10.8839,5.1713,-0.0005,-0.0001,R,7.0626
-9.8381,10.8837,5.1911,0.1182,0.0228,-9.7777,10.9301,5.1793,0.0669,0.0129,L,1.8376
-9.5785,10.8891,5.1928,0.0986,0.0190,-9.5370,10.9156,5.1568,0.0038,0.0007,R,4.1011
-9.3189,10.8936,5.1943,0.0807,0.0155,-9.2790,10.9401,5.1614,0.0252,0.0049,L,0.5374
-9.0592,10.8972,5.1956,0.0646,0.0124,-9.0265,10.9238,5.1505,-0.0172,-0.0033,R,2.7223
-8.7994,10.9001,5.1967,0.0502,0.0097,-8.7667,10.9531,5.1581,0.0211,0.0041,L,0.7945
-8.5395,10.9023,5.1976,0.0377,0.0073,-8.5188,10.9127,5.1409,-0.0965,-0.0188,R,6.7051
-8.2797,10.9039,5.1984,0.0269,0.0052,-8.3294,10.8423,5.0528,-0.2602,-0.0514,L,6.6831
-8.0197,10.9050,5.1990,0.0180,0.0035,-8.0730,10.8599,5.0592,-0.1702,-0.0336,R,1.1568
-7.7598,10.9057,5.1994,0.0108,0.0021,-7.7656,10.8925,5.1257,-0.1064,-0.0208,L,4.0028
-7.4998,10.9061,5.1997,0.0054,0.0010,-7.5018,10.8939,5.1309,-0.0480,-0.0094,R,1.7363
-7.2398,10.9063,5.1999,0.0018,0.0003,-7.2335,10.8793,5.1420,-0.0817,-0.0159,L,0.5240
